width,n_hidden,N,D,C,batch_size,lr,steps,iso_C,seed,init_loss,val_loss
8,2,345,16777216,26138902528.0,256,0.0013722457693884254,65536,0.0,1,0.9653117752075195,0.1124342179298401
16,2,817,1024,3971072.0,256,0.032413859159767286,4,0.0,1,0.9977027273178101,0.7554600930213928
16,2,817,2048,7942144.0,256,0.032413859159767286,8,0.0,1,0.9977027273178101,0.3721169924736023
16,2,817,4096,15884288.0,256,0.032413859159767286,16,0.0,1,0.9977027273178101,0.23684158384799958
16,2,817,8192,31768576.0,256,0.032413859159767286,32,0.0,1,0.9977027273178101,0.2021672821044922
16,2,817,16384,63537152.0,256,0.032413859159767286,64,0.0,1,0.9977027273178101,0.1574665105342865
16,2,817,32768,127074304.0,256,0.032413859159767286,128,0.0,1,0.9977027273178101,0.10681409597396851
16,2,817,65536,254148608.0,256,0.032413859159767286,256,0.0,1,0.9977027273178101,0.07832519173622132
16,2,817,131072,508297216.0,256,0.02113465843493097,512,0.0,1,0.9977027273178101,0.06594957619905473
16,2,817,262144,1016594432.0,256,0.013780333435755134,1024,0.0,1,0.9977027273178101,0.059589313566684725
16,2,817,524288,2033188864.0,256,0.008985126974502301,2048,0.0,1,0.9977027273178101,0.05487848281860352
16,2,817,1048576,4066377728.0,256,0.0058585307187456245,4096,0.0,1,0.9977027273178101,0.05369818046689034
16,2,817,2097152,8132755456.0,256,0.0038199106456575467,8192,0.0,1,0.9977027273178101,0.057633789479732515
16,2,817,4194304,16265510912.0,256,0.0024906786430458627,16384,0.0,1,0.9977027273178101,0.05090646654367447
16,2,817,8388608,32531021824.0,256,0.0016239856578783751,32768,0.0,1,0.9977027273178101,0.050427379310131075
16,2,817,16777216,65062043648.0,256,0.001058879845602826,65536,0.0,1,0.9977027273178101,0.04951079398393631
32,2,2145,1024,11081728.0,256,0.025011833119210656,4,0.0,1,1.0256378746032715,0.7020543909072876
32,2,2145,2048,22163456.0,256,0.025011833119210656,8,0.0,1,1.0256378746032715,0.35328877925872804
32,2,2145,4096,44326912.0,256,0.025011833119210656,16,0.0,1,1.0256378746032715,0.22972410380840302
32,2,2145,8192,88653824.0,256,0.025011833119210656,32,0.0,1,1.0256378746032715,0.1844748204946518
32,2,2145,16384,177307648.0,256,0.025011833119210656,64,0.0,1,1.0256378746032715,0.12881672590970994
32,2,2145,32768,354615296.0,256,0.025011833119210656,128,0.0,1,1.0256378746032715,0.05789262637495995
32,2,2145,65536,709230592.0,256,0.025011833119210656,256,0.0,1,1.0256378746032715,0.047054799497127535
32,2,2145,131072,1418461184.0,256,0.016308349684635532,512,0.0,1,1.0256378746032715,0.040101804062724115
32,2,2145,262144,2836922368.0,256,0.010633457698551337,1024,0.0,1,1.0256378746032715,0.0365794787555933
32,2,2145,524288,5673844736.0,256,0.0069332841650683345,2048,0.0,1,1.0256378746032715,0.03244627103209496
32,2,2145,1048576,11347689472.0,256,0.004520677156606947,4096,0.0,1,1.0256378746032715,0.030504770800471308
32,2,2145,2097152,22695378944.0,256,0.0029475961849699337,8192,0.0,1,1.0256378746032715,0.028995270133018496
32,2,2145,4194304,45390757888.0,256,0.0019219074861276846,16384,0.0,1,1.0256378746032715,0.027768375575542452
32,2,2145,8388608,90781515776.0,256,0.0012531324351918692,32768,0.0,1,1.0256378746032715,0.026759544610977175
32,2,2145,16777216,181563031552.0,256,0.0008170741367441535,65536,0.0,1,1.0256378746032715,0.026114708036184313
64,2,6337,1024,34740224.0,256,0.019300133097380143,4,0.0,1,1.0026075339317322,0.4887321090698242
64,2,6337,2048,69480448.0,256,0.019300133097380143,8,0.0,1,1.0026075339317322,0.2845656371116638
64,2,6337,4096,138960896.0,256,0.019300133097380143,16,0.0,1,1.0026075339317322,0.24618069291114808
64,2,6337,8192,277921792.0,256,0.019300133097380143,32,0.0,1,1.0026075339317322,0.1730229949951172
64,2,6337,16384,555843584.0,256,0.019300133097380143,64,0.0,1,1.0026075339317322,0.09542677760124207
64,2,6337,32768,1111687168.0,256,0.019300133097380143,128,0.0,1,1.0026075339317322,0.041582776457071306
64,2,6337,65536,2223374336.0,256,0.019300133097380143,256,0.0,1,1.0026075339317322,0.035692913681268694
64,2,6337,131072,4446748672.0,256,0.012584176378113323,512,0.0,1,1.0026075339317322,0.03304930612444878
64,2,6337,262144,8893497344.0,256,0.008205202229251042,1024,0.0,1,1.0026075339317322,0.030263802260160448
64,2,6337,524288,17786994688.0,256,0.00535,2048,0.0,1,1.0026075339317322,0.028159989267587664
64,2,6337,1048576,35573989376.0,256,0.0034883357168166485,4096,0.0,1,1.0026075339317322,0.02600383594632149
